id,cycle_id,rank,name,lore,hour,score,commitment,committed_at,image_sha
1,1,1,Sherwood Index #1,A ledger that forgets nothing and forgives less.,14,0.880000,d5bc056951445a9c4739f340783bc602b609a69e766d3e366f1ff8a5da7afa2c,2026-09-13T11:54:18.419169+00:00,
2,1,2,Longbow Protocol #2,Counting what the forest already knew.,14,0.840000,a0abb3f1c834594ab1befbffce3ab27cc719353c06742301278eca50f4114a9d,2026-09-13T11:54:18.419169+00:00,
3,1,3,Fletcher Capital #3,Every arrow is a claim about the future.,14,0.800000,239704a1c0616b276deb9a1d24000c9f785f428eb7aa0b1128beafa15fe8d560,2026-09-13T11:54:18.419169+00:00,
4,1,4,Yeoman Chain #4,Built for the ones who check the receipts.,14,0.760000,bfc533c2ca1ab84d68c62de50e7694b8dc3f7714d9731e5cb89bd19d426a9f7a,2026-09-13T11:54:18.419169+00:00,
5,1,5,Robinhood Vault #5,Twelve hundred holders and one honest chart.,14,0.720000,49fde994cd90411617bf360633cce47be648e2dd0f145cb8fe9346ef4ae48168,2026-09-13T11:54:18.419169+00:00,
6,1,6,Sherwood Index #6,A ledger that forgets nothing and forgives less.,14,0.680000,55f910c3ad5494d4dd047213e38b1d3b3a0bc0766815efd5bb203a47ddd97ace,2026-09-13T11:54:18.419169+00:00,
7,1,7,Longbow Protocol #7,Counting what the forest already knew.,14,0.640000,74bc3872388336d85fdad6ffeb9da3b36962bc44160a26fbc754cb07f5388c87,2026-09-13T11:54:18.419169+00:00,
8,1,8,Fletcher Capital #8,Every arrow is a claim about the future.,14,0.600000,01509ab9afdad95f4331bcd7f59994542abacde9753127a5575d145a4994913c,2026-09-13T11:54:18.419169+00:00,
9,1,9,Yeoman Chain #9,Built for the ones who check the receipts.,14,0.560000,ff45161b22f7b91f483ce0580b8c54adbb80603d53f60afadc99275dd70b8384,2026-09-13T11:54:18.419169+00:00,
10,1,10,Robinhood Vault #10,Twelve hundred holders and one honest chart.,14,0.520000,66bbf83dd4a5fc9445158172bafe17cdb41419e0958d9150a14e1f2ece21e869,2026-09-13T11:54:18.419169+00:00,
